user_id_1,user_id_2,source_ip_hash
881512,931980,00237add4383250a292e1a73dad7efce
568329,886035,002b2bb1788507c4a971604614dd140c
938976,111565,0036b95fb9c867043b30f42ff0ce8277
445584,830020,003a2da435e57632a522a0e94ff167fe
787393,951769,003e0f842a9d5af230254977e334395c
962914,113578,006131ce38ebf5f1dc1ae42665f5fbe8
962914,517707,006131ce38ebf5f1dc1ae42665f5fbe8
962914,340783,006131ce38ebf5f1dc1ae42665f5fbe8
962914,982806,006131ce38ebf5f1dc1ae42665f5fbe8
962914,178428,006131ce38ebf5f1dc1ae42665f5fbe8
962914,268925,006131ce38ebf5f1dc1ae42665f5fbe8
962914,996735,006131ce38ebf5f1dc1ae42665f5fbe8
113578,517707,006131ce38ebf5f1dc1ae42665f5fbe8
113578,340783,006131ce38ebf5f1dc1ae42665f5fbe8
113578,982806,006131ce38ebf5f1dc1ae42665f5fbe8
113578,178428,006131ce38ebf5f1dc1ae42665f5fbe8
113578,268925,006131ce38ebf5f1dc1ae42665f5fbe8
113578,996735,006131ce38ebf5f1dc1ae42665f5fbe8
517707,340783,006131ce38ebf5f1dc1ae42665f5fbe8
517707,982806,006131ce38ebf5f1dc1ae42665f5fbe8
517707,178428,006131ce38ebf5f1dc1ae42665f5fbe8
517707,268925,006131ce38ebf5f1dc1ae42665f5fbe8
517707,996735,006131ce38ebf5f1dc1ae42665f5fbe8
340783,982806,006131ce38ebf5f1dc1ae42665f5fbe8
340783,178428,006131ce38ebf5f1dc1ae42665f5fbe8
340783,268925,006131ce38ebf5f1dc1ae42665f5fbe8
340783,996735,006131ce38ebf5f1dc1ae42665f5fbe8
982806,178428,006131ce38ebf5f1dc1ae42665f5fbe8
982806,268925,006131ce38ebf5f1dc1ae42665f5fbe8
982806,996735,006131ce38ebf5f1dc1ae42665f5fbe8
178428,268925,006131ce38ebf5f1dc1ae42665f5fbe8
178428,996735,006131ce38ebf5f1dc1ae42665f5fbe8
268925,996735,006131ce38ebf5f1dc1ae42665f5fbe8
650546,584014,0065d640a5f8dc52850cee4a4bbd752a
360056,102860,006bc82970c4d4d87dd27ef7c59db474
374555,980389,00962a2529ba07c72c9b6aa1468f62b5
995939,564748,009fb8bd86dad18e7832bed705e9ad64
971198,378455,00a89c0cb0c84b98dad5001600cff18d
900806,272599,00b5f10eea96ce24cf6c3e1ebfeeb6ce
47819,496276,00c372e38dc1e412bc29f374816b51a7
885528,882031,00c38b8592991a90e2394d5367578f8a
970882,363718,00d538b4155fcc03bc242cda55988ef5
849258,668348,00d8744525bfa1e154b742ec9fdb26c0
304473,827409,00ed434c0153f2fefe735ab973cffe81
842120,532385,010c75c43130f00e913322c388d36cd9
842120,335170,010c75c43130f00e913322c388d36cd9
532385,335170,010c75c43130f00e913322c388d36cd9
669985,475796,0111443aae459f3ac54848ffd168f5df
76938,895155,011175d41ac51a22752d37aecb1b047b
76938,911479,011175d41ac51a22752d37aecb1b047b
895155,911479,011175d41ac51a22752d37aecb1b047b
501060,751190,01356b729f7b3ba198e156e3891a36ef
501060,649444,01356b729f7b3ba198e156e3891a36ef
751190,649444,01356b729f7b3ba198e156e3891a36ef
731844,272996,01360963cb709c72b138551b1e95f111
785336,440985,0139257039696962612a876e9b35cb75
147313,194690,01438298947b928befdbbc0efbed061e
137380,933941,014648cc95e37b7f79b1815fc9298c3e
441341,938799,0161104c36059aa326b160bb2a46a7ae
974690,965434,016715976b27cdbc99609a809ab65fb6
618513,602484,017e1fe9d307bb1424c2974ebe42a420
568025,673675,01811998f887bdbd88cbc11d639465da
730427,630517,01831587b66ffadbcc7d0919862af0db
761486,558022,01971f0444c111ac61ef1ee959319861
953288,97759,019d372c15702a0b3ac1ac475e161717
575980,209967,01a10a7e36fe8f7f26a3375a4a3ae002
444257,676249,01a333ca8db6df5608e0f354ed41717e
459865,674,01c75c86b5f40a1f80db08ee213f333e
939795,136940,01d89f178abbd31b3427d48eb8bd713a
871322,784470,01ea81e60fc1234107d7be4007f3d1f7
597393,893233,01eaf56827c1340f580b35a7b44e9fac
523920,575599,01f46dd6d2d81846872edcfcf9839d00
903457,778419,020233c3ee40896fc2ca959d637fbc7d
521033,891602,021451cb3cb805df3e3ed3b4126bdefd
774546,922590,0217a85d5763758c98e3dd8112039f5d
915679,225511,0223927f0cbea159e36f1bb8c24f5077
554596,840363,0223a44a82e99bbcaa47178df705837a
554596,860093,0223a44a82e99bbcaa47178df705837a
554596,867667,0223a44a82e99bbcaa47178df705837a
554596,971261,0223a44a82e99bbcaa47178df705837a
840363,860093,0223a44a82e99bbcaa47178df705837a
840363,867667,0223a44a82e99bbcaa47178df705837a
840363,971261,0223a44a82e99bbcaa47178df705837a
860093,867667,0223a44a82e99bbcaa47178df705837a
860093,971261,0223a44a82e99bbcaa47178df705837a
867667,971261,0223a44a82e99bbcaa47178df705837a
919726,522982,0224919037dae3fb3ac37b90a2bcbb67
146312,983363,022cf38e471c926d4801ff8ce7b368a1
426354,424359,022d74709fbcd93e71d87b460d1a2af0
964251,480535,023a6881e3bf671cf4f8f9b520d81565
964251,848462,023a6881e3bf671cf4f8f9b520d81565
964251,751903,023a6881e3bf671cf4f8f9b520d81565
480535,848462,023a6881e3bf671cf4f8f9b520d81565
480535,751903,023a6881e3bf671cf4f8f9b520d81565
848462,751903,023a6881e3bf671cf4f8f9b520d81565
100912,234126,0254f8812fd02f41dee3c406cd81bae9
421797,874534,0257f53da9fda0aa9652dfaa955d6a3a
339460,332110,0261c42d9a46a6c9ab8476c25752d409
20043,486983,0263a6699a2cd53af9c75a59f6862cfb
782108,706487,02674bb503e2f98189169c0b64aeb28e
188668,940893,02790aad101b0f2b6d8eead5d039b529
730904,904167,027d0c1b2f2e876308f7976f9a1ad922
692448,399809,0283afe1bbe454dc54d15789690b3aa3
475800,954559,02857b8ecdd220b4c1aa6c30cc106cd5
121520,771578,0288c1561992c1bb8b5fd7b1b41dc413
863209,869683,02a60485fb7d3ca9798e4966334f4f44
461432,415557,02a9e17d5397244bc0da72feefca02d8
461432,204237,02a9e17d5397244bc0da72feefca02d8
415557,204237,02a9e17d5397244bc0da72feefca02d8
63225,922121,02a9fdd688e678a95022d7946747216a
968641,592437,02affb5441b4ae1cc306dc72d843d253
