zero_balance_count,avg_balance_duration_hours,max_balance,balance_volatility,uturn_ratio,pulse_count,user_id,label
0,0.0,40000.0,14142.13562373095,0.0,0,3,0
2,0.0,785.0,21234.41663903202,0.0,0,4,0
2,0.5186111111111111,1757.5080000000016,61548.62139513367,0.0,0,10,0
11,198.14083333333335,1575.65,45400.00041140708,0.08333333333333333,0,786452,0
2,42.465,20000.0,10400.582907336704,0.3333333333333333,0,524310,0
2,129.40375,3000.0,1564.246810154833,0.0,0,786458,0
1,0.0,-40060.0,0.0,0.0,0,26,0
0,0.0,50000.0,0.0,0.0,0,786460,0
3,43.58694444444444,30000.0,12342.582324337087,0.4444444444444444,0,524319,0
0,0.0,63657.18533019999,18504.37995973216,0.0,0,37,0
1,0.03361111111111111,5985.0,2522.137649179151,0.0,0,786472,0
4,69.52763888888889,14847.086383050002,5632.955169568019,0.0,0,41,0
3,168.89277777777775,10000.0,4667.75856323349,0.0,0,524336,0
9,73.4242901234568,12000.0,3366.2557479754446,0.037037037037037035,0,786481,0
5,113.47366666666667,5879.1728834840005,2087.7715418185453,0.0,0,524344,0
1,0.0,-10030.0,0.0,0.0,0,56,0
0,0.0,10000.0,0.0,0.0,0,524357,0
1,0.011944444444444445,5000.0,2919.1430423873526,0.0,0,786509,0
2,0.0,116.20263480000085,4970.960671741429,0.0,0,262227,0
1,0.0,-652.394843082,0.0,0.0,0,87,0
2,0.0,1000.0,581.7811444945042,0.0,0,786525,0
4,0.0,4649.599757699994,63441.4879594269,0.2,0,786527,0
0,0.0,35000.0,10606.601717798212,0.0,0,524384,0
1,0.0,-300000.0,0.0,0.0,0,98,0
1,0.020833333333333332,100000.0,58539.73255838602,0.3333333333333333,0,262242,0
0,0.0,35011.633168,16875.125668139404,0.0,0,112,0
0,0.0,14061.545094300001,43.51895352829655,0.0,0,786545,0
27,17.755277777777778,3012.5496624899997,22741.639868875962,0.0967741935483871,0,524409,0
1,0.0,10000.0,7041.266482124811,0.0,0,786554,0
2,6.760972222222222,100000.0,42217.05315902046,0.3,0,262273,0
24,51.876666666666665,9383.628912154847,60239.7475045575,0.06666666666666667,0,131,0
5,88.21033333333335,5000.0,2487.2894500518805,0.0,0,524420,0
1,0.17972222222222223,50000.0,29069.507674312314,0.3333333333333333,0,134,0
11,86.21520833333334,23995.347176300274,6461.685857779929,0.07407407407407407,0,139,0
2,0.0,-39150.0,17754.74416881302,0.0,0,140,0
116,1.993454861111111,9264.99053000001,31263.335161387527,0.007518796992481203,0,786574,0
1,0.0,-2060.3446174299997,0.0,0.0,0,786577,0
0,0.0,134424.22893490002,37876.968594493024,0.0,0,786578,0
12,0.0,1137.8861999999936,34398.42222377939,0.23076923076923078,0,146,0
3,22.562592592592594,97835.69109625899,39577.21432356181,0.4166666666666667,0,524440,0
5,100.27673611111112,43000.0,16329.192172670146,0.3076923076923077,0,786585,0
4,28.83763888888889,49927.084599208,33196.10718998765,0.2,0,158,0
3,0.0,3715.5804725999915,45627.782939446006,0.0,0,159,0
0,0.0,8000.0,51.30224166642231,0.0,0,786592,0
2,0.0,160.7531024,4693.067706735116,0.0,0,786594,0
4,84.57416666666667,79580.7196432,25446.024070775125,0.05555555555555555,0,167,0
1,0.0,-2875.314555247,0.0,0.0,0,262321,0
0,0.0,50000.0,0.0,0.0,0,524466,0
10,0.0,12.810487999999964,679.2934050496141,0.0,0,185,0
0,0.0,1400.0,25.183342988337365,0.0,0,189,0
0,0.0,6000.0,0.0,0.0,0,786629,0
0,0.0,20004.8038665,3.3968465780638595,0.0,0,197,0
1,0.03972222222222222,8000.0,4673.129039715119,0.0,0,786634,0
1,0.021111111111111112,100000.0,48734.1303195569,0.5,0,210,0
1,0.0,24000.0,18772.97793372165,0.0,0,212,0
0,0.0,25000.0,0.0,0.0,0,213,0
8,167.72736111111112,44011.933620143995,68678.8527145374,0.06666666666666667,0,524503,0
2,287.5783333333333,1004.690483598,574.7943796486322,0.0,0,216,0
4,15.140694444444446,7022.107897975,5619.569462745051,0.0,0,786649,0
1,0.0,-2402.0,0.0,0.0,0,218,0
1,0.0,-45030.0,0.0,0.0,0,228,0
0,0.0,1000.0,0.0,0.0,0,524516,0
1,0.0,-53616.0,0.0,0.0,0,234,0
2,0.0,10000.0,5824.06933271153,0.3333333333333333,0,235,0
1,3.160277777777778,30000.0,17496.608830998368,0.3333333333333333,0,241,0
2,28.45513888888889,100418.322686828,44538.71303143923,0.6666666666666666,0,786685,0
1,0.0,7115.4236298,3360.890917305619,0.0,0,254,0
0,0.0,0.0,0.0,0.0,0,524555,0
1,0.0,-989.0,0.0,0.0,0,786704,1
3,0.02277777777777778,30000.0,20879.60431299222,0.16666666666666666,0,273,0
23,109.27027777777778,2286.00702751,613.8134673423946,0.0,0,786706,0
1,0.0,1466.0,43472.92490734894,0.0,0,276,0
2,85.53027777777777,50000.0,24177.33546309564,0.2857142857142857,0,524570,0
4,0.0,-31075.810619999997,7458.015106567434,0.0,0,524572,1
2,0.13277777777777777,100000.0,53368.4441690493,0.5,0,524584,0
3,0.0,570.0,278.6459632332003,0.0,0,786730,0
1,0.0,1770.6957441999984,26536.303284368754,0.0,0,262442,0
1,495.1363888888889,50000.0,27810.98299233596,0.0,0,308,0
2,0.0,-63326.943,347528.3353776372,0.0,0,262456,0
0,0.0,3810.0,1414.213562373095,0.0,0,786751,0
1,48.159166666666664,15500.0,9225.74805006799,0.0,0,319,0
3,0.0125,6000.0,3029.0453600832834,0.0,0,322,0
6,0.0,496.01385900000605,21129.032627482313,0.0,0,323,0
2,0.0,-75498.13149999999,56589.7556983594,0.0,0,327,0
2,0.0038888888888888888,3455.7522442000045,75644.27673073251,0.0,0,334,0
30,0.022222222222222223,5300.0,8715.486682254203,0.0,0,786768,0
13,59.676064814814815,23938.4045854,10089.495202289732,0.09090909090909091,1,262492,0
