user_id,label,label_name,reg_source,total_trades,web_ratio,app_ratio,api_ratio,interface_diversity,transitions,transition_rate,dominant_source,api_only
1527,0,正常,WEB,12,0.0,1.0,0.0,1,0,0.0,APP,0
1606,0,正常,WEB,1,0.0,1.0,0.0,1,0,0.0,APP,0
1736,0,正常,WEB,10,0.0,1.0,0.0,1,0,0.0,APP,0
2919,0,正常,WEB,2,0.5,0.5,0.0,2,1,0.5,WEB,0
5070,0,正常,WEB,28,1.0,0.0,0.0,1,0,0.0,WEB,0
6439,0,正常,WEB,3,0.0,1.0,0.0,1,0,0.0,APP,0
8305,-1,未標記,WEB,18,0.0,1.0,0.0,1,0,0.0,APP,0
12213,0,正常,WEB,7,0.0,1.0,0.0,1,0,0.0,APP,0
18805,0,正常,WEB,3,0.0,1.0,0.0,1,0,0.0,APP,0
20555,0,正常,WEB,7,0.0,1.0,0.0,1,0,0.0,APP,0
28634,0,正常,WEB,20,0.0,1.0,0.0,1,0,0.0,APP,0
29860,0,正常,WEB,33,0.0,1.0,0.0,1,0,0.0,APP,0
36044,0,正常,WEB,7,0.0,1.0,0.0,1,0,0.0,APP,0
37224,0,正常,WEB,1,0.0,1.0,0.0,1,0,0.0,APP,0
44099,0,正常,WEB,2,0.0,1.0,0.0,1,0,0.0,APP,0
52528,0,正常,WEB,38,0.0,1.0,0.0,1,0,0.0,APP,0
67463,0,正常,WEB,1543,0.6545690213869086,0.007777057679844459,0.3376539209332469,3,243,0.1574854180168503,WEB,0
76782,-1,未標記,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
83493,-1,未標記,APP,4,0.0,1.0,0.0,1,0,0.0,APP,0
91205,0,正常,WEB,59,0.0,1.0,0.0,1,0,0.0,APP,0
95235,0,正常,WEB,12,0.25,0.75,0.0,2,6,0.5,APP,0
95628,-1,未標記,APP,4,0.0,1.0,0.0,1,0,0.0,APP,0
98543,0,正常,APP,2,0.0,1.0,0.0,1,0,0.0,APP,0
99682,1,黑名單,APP,10,0.0,1.0,0.0,1,0,0.0,APP,0
100622,1,黑名單,WEB,19,0.0,1.0,0.0,1,0,0.0,APP,0
103428,0,正常,WEB,2,0.0,1.0,0.0,1,0,0.0,APP,0
104619,-1,未標記,WEB,9,0.0,1.0,0.0,1,0,0.0,APP,0
107888,0,正常,WEB,4,0.0,1.0,0.0,1,0,0.0,APP,0
114365,0,正常,APP,2,0.0,1.0,0.0,1,0,0.0,APP,0
117529,0,正常,APP,8,0.0,1.0,0.0,1,0,0.0,APP,0
117934,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
122627,0,正常,WEB,3,0.0,1.0,0.0,1,0,0.0,APP,0
125593,0,正常,APP,20,0.0,1.0,0.0,1,0,0.0,APP,0
128876,0,正常,WEB,4,0.0,1.0,0.0,1,0,0.0,APP,0
129887,0,正常,APP,1,0.0,1.0,0.0,1,0,0.0,APP,0
130394,0,正常,APP,15,0.0,1.0,0.0,1,0,0.0,APP,0
136429,0,正常,WEB,2,1.0,0.0,0.0,1,0,0.0,WEB,0
137000,0,正常,WEB,8,0.0,1.0,0.0,1,0,0.0,APP,0
141930,0,正常,APP,2,0.0,1.0,0.0,1,0,0.0,APP,0
142490,0,正常,APP,12,0.0,1.0,0.0,1,0,0.0,APP,0
144322,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
145897,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
148068,0,正常,WEB,22,0.0,1.0,0.0,1,0,0.0,APP,0
149247,-1,未標記,APP,1,0.0,1.0,0.0,1,0,0.0,APP,0
152562,0,正常,APP,1,0.0,1.0,0.0,1,0,0.0,APP,0
154937,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
157289,0,正常,WEB,1,0.0,1.0,0.0,1,0,0.0,APP,0
164607,0,正常,APP,2,0.0,1.0,0.0,1,0,0.0,APP,0
173159,-1,未標記,APP,1,0.0,1.0,0.0,1,0,0.0,APP,0
173301,0,正常,WEB,2,0.0,1.0,0.0,1,0,0.0,APP,0
173469,0,正常,WEB,6,0.0,1.0,0.0,1,0,0.0,APP,0
173917,-1,未標記,APP,1,0.0,1.0,0.0,1,0,0.0,APP,0
178788,0,正常,APP,4,0.0,1.0,0.0,1,0,0.0,APP,0
183501,-1,未標記,APP,29,0.0,1.0,0.0,1,0,0.0,APP,0
188993,-1,未標記,APP,2,0.0,1.0,0.0,1,0,0.0,APP,0
193155,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
193999,0,正常,APP,3,0.0,1.0,0.0,1,0,0.0,APP,0
197441,0,正常,WEB,28,0.0,1.0,0.0,1,0,0.0,APP,0
199281,-1,未標記,WEB,35,0.0,1.0,0.0,1,0,0.0,APP,0
201440,0,正常,WEB,12,0.0,1.0,0.0,1,0,0.0,APP,0
204804,0,正常,WEB,3,0.0,1.0,0.0,1,0,0.0,APP,0
216821,0,正常,APP,8,0.0,1.0,0.0,1,0,0.0,APP,0
217236,0,正常,WEB,1,0.0,1.0,0.0,1,0,0.0,APP,0
234081,0,正常,APP,15,0.0,1.0,0.0,1,0,0.0,APP,0
238395,0,正常,APP,42,0.0,1.0,0.0,1,0,0.0,APP,0
248092,0,正常,WEB,7,0.0,1.0,0.0,1,0,0.0,APP,0
