user_id,actual_status,pred_status,pred_prob,status,sex,age,career,income_source,confirmed_at,level1_finished_at,level2_finished_at,user_source,usdt_trade_count,usdt_total_amount,usdt_avg_amount,usdt_max_amount,usdt_std_amount,usdt_buy_count,usdt_buy_ratio,usdt_market_ratio,usdt_ip_count,usdt_source_avg,crypto_tx_count,crypto_total_amount,crypto_avg_amount,crypto_max_amount,crypto_deposit_count,crypto_currency_count,crypto_from_wallet_count,crypto_to_wallet_count,crypto_relation_user_count,crypto_ip_count,twd_tx_count,twd_total_amount,twd_avg_amount,twd_max_amount,twd_deposit_count,twd_ip_count,swap_count,swap_twd_total,swap_twd_avg,swap_currency_total,swap_currency_avg,swap_kind_count,shared_ip_degree,shared_ip_unique_count,night_tx_ratio,internal_tx_ratio,out_in_ratio,n2v_pca_0,n2v_pca_1,n2v_pca_2,n2v_pca_3,n2v_pca_4,n2v_pca_5,n2v_pca_6,n2v_pca_7,n2v_pca_8,n2v_pca_9,n2v_pca_10,n2v_pca_11,n2v_pca_12,n2v_pca_13,n2v_pca_14,n2v_pca_15,neighbor_risk_score,nb_n2v_0,nb_n2v_1,nb_n2v_2,nb_n2v_3,nb_n2v_4,nb_n2v_5,nb_n2v_6,nb_n2v_7,nb_n2v_8,nb_n2v_9,nb_n2v_10,nb_n2v_11,nb_n2v_12,nb_n2v_13,nb_n2v_14,nb_n2v_15,account_tenure_days,first_tx_time,first_tx_delay_days,is_round_amount_ratio,dormant_intensity,is_isolated
967138,1,0,0.0016048512576494246,1,2.0,50.0,28.0,1.0,1758235346.0,1758235479.0,1758406926.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.64884138749945,25.857081918276304,26.39830584274039,6.0,1.0,1.0,1.0,0.0,3.0,9.0,30.88139560785616,28.68417103052025,28.729633404596992,0.0,1.0,6.0,31.0784466524566,5236566666666.667,27.648844389875144,169663842727.16666,1.0,1.0,1.0,0.0,0.0,0.0,0.1237609737012999,0.5221610302961834,0.2639922757429736,-0.3192247975105613,0.32725447851537004,0.22937040558297445,0.0018881255148970044,-0.216168552047169,0.5023295240743927,0.5975785113140314,-0.17110030796447706,-0.05299268102017979,0.1043808646521832,-0.3257681304953544,-0.020302671910852534,0.7032430243066253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1759529802.0,12.0,1.0,62838800000000.0,1.0
362176,1,0,0.00037855225212519755,1,1.0,33.0,6.0,1.0,1689607611.0,1689607611.0,1689610057.0,2.0,10.0,25.646274183544744,23.343689090616195,24.76851958982735,23.56157118714941,9.0,0.9,0.1,6.0,1.0,19.0,26.20467813650591,23.260239157414407,24.912194562471473,19.0,3.0,3.0,5.0,0.0,8.0,18.0,29.62828955725914,26.73791779936528,28.32341801509829,0.0,1.0,8.0,28.78108668618589,394800000000.0,25.348651402223133,12755263674.0,1.0,1.0,1.0,0.1578947368421052,0.0,0.0,-0.11841885536210106,-0.5986121629673129,-0.26890279199693995,0.37050957364631204,0.1558649789149076,-0.4107381019627283,0.4291847742818221,-0.017459343980938513,0.05006550175401703,-0.35801752494157846,0.24106087817341598,0.4399599505067615,0.41064812356703656,-0.3838087389883842,0.13814640669627729,0.719032949922666,0.0,-0.17240247624603566,-0.6392185422193211,-0.24941487237730586,0.35066080073068906,0.16068320369140404,-0.3981133945969366,0.4724763613912194,-0.03053560645059611,0.05818431697286944,-0.3565159915145884,0.27965646566034824,0.467162592865762,0.39917021761426974,-0.4265933617202521,0.12000190786581602,0.7868750035587154,834.0,1760461474.0,820.0,0.6727272727272727,323736000000000.0,1.0
1001262,1,0,0.01188416829197011,1,2.0,23.0,22.0,4.0,1761586300.0,1761586320.0,1761630364.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.18900173977739,24.18900173977739,24.18900173977739,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27.63102111592955,27.63102111592955,27.63102111592955,0.0,1.0,1.0,27.63102111592955,1000000000000.0,24.200488905338354,32369708685.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.4153903261163416,-3.0837085576127676,-0.19512952875481077,0.2837491217275592,0.47936015842996504,-0.15295959959915728,0.021295926799522025,0.21099618272467494,-0.0028201907258568193,0.08511968402281563,-0.09849356349373534,-0.016010838867113075,0.0014398434367600133,-0.08838972703509768,0.20920507332744545,-0.01300472802822826,1.0,-1.4238974396482977,-2.9838823845333526,-0.20254745485581555,0.297216689029714,0.5229960780460408,-0.21064546508977466,0.017961926976266862,0.23963451223067592,0.11746080235221422,0.12294162221199917,-0.12685567026446998,-0.07779741224418443,0.02277409313509935,-0.05084989052324587,0.27506246289597236,0.034355829457857034,1.0,1761848952.0,2.0,1.0,2000000000000.0,1.0
313523,1,0,8.007531088295822e-05,1,1.0,32.0,3.0,1.0,1671653976.0,1671654006.0,1671815890.0,1.0,2.0,27.64051589749133,26.947368716932374,27.63079108947549,27.274397189796503,0.0,0.0,0.0,2.0,1.0,4.0,27.64061494779895,26.25432058668203,27.63079108947549,0.0,2.0,3.0,1.0,0.0,0.0,2.0,31.06630425452181,30.373157073961895,31.05659561326272,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.27214838728406465,0.4883827880598097,-0.6254399316800322,-0.18791518170193283,0.43320297740346136,-0.05273639486437069,0.3241137819588495,0.9496420685761937,-0.9286265778942512,-0.07918736923341232,0.6385008166730941,-0.11214249529759815,0.09801959415701919,-0.7868747464797927,1.0089246462598056,0.30139310904194694,0.0,-0.3940938119190003,0.557686337672552,-0.678122637899611,-0.19939524930765795,0.47426401248989886,-0.029200266491483773,0.33814541340680093,1.0161015921269474,-1.025340956111523,-0.09265597629925784,0.6639520480916086,-0.08821338722312211,0.06846272730185547,-0.8489544895607168,1.058309440117511,0.33840289668241363,1042.0,1760992195.0,1032.0,0.875,0.0,1.0
932811,1,0,0.0018448422853085838,1,1.0,45.0,3.0,1.0,1754801579.0,1754801610.0,1755326049.0,1.0,19.0,28.528664037129463,25.584225057970357,26.790438325576545,25.251575621082356,14.0,0.7368421052631579,0.0,12.0,1.0,22.0,28.595148684481185,25.504106231130876,26.790438325576545,13.0,2.0,7.0,3.0,0.0,9.0,20.0,31.722362840810682,28.726630567257008,28.729633404596992,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.6363636363636364,0.0,1.4,-0.2688392268976689,-0.2250979386862133,0.6877365674233684,-0.1488270140367415,0.5965662662887488,-0.7525477130272382,1.4737635553994801,0.3865032252468868,-0.2640930884136581,-1.212921670039995,-0.003919151013883571,0.3438656012868715,0.03983818481838841,-0.13562384945926118,0.22911781838330678,0.018819212633590918,0.0,-0.2459943331222132,-0.2562795857611082,0.7823361870879241,-0.13448282275580387,0.6462365719120502,-0.820647909248698,1.5478167760614545,0.43513169888694014,-0.2858574513679373,-1.2325018249706794,-0.01976170086002002,0.2752500966845944,0.0978050039892184,-0.1486800908015056,0.25174152784817116,0.023991113657827676,80.0,1759355061.0,46.0,0.7704918032786885,0.0,0.0
907025,1,0,1.785971481417021e-05,1,2.0,44.0,3.0,7.0,1752013210.0,1752013392.0,1752060820.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.670590335270532,25.724680186220986,26.504934850262767,7.0,1.0,1.0,4.0,0.0,5.0,11.0,31.112568850244394,28.71467357744633,29.24045902836285,0.0,1.0,7.0,31.112568850244394,4644285714285.714,27.670646146612363,148631510749.7143,1.0,1.0,1.0,0.1428571428571428,0.0,0.0,0.316553652575131,0.9431530454760957,0.49308990383704143,0.5626777843486375,-0.21866620842617618,0.07562300304929023,-0.0498008023904386,-0.41413327657132654,-0.05344747053251417,-0.6138809053859318,-0.22103021194323172,0.221661403761617,0.4492067616213746,0.7058707963853879,-0.17943145564564592,-0.28815659791978376,0.0,0.32581463680001965,1.0725159163332116,0.5306258859411499,0.6605445224131132,-0.2779172382205658,0.0642710827045431,-0.08091309953550019,-0.52773790725403,-0.07232302037297617,-0.7067968130291846,-0.17779886014811203,0.24132984154743015,0.4885996920648445,0.7672312931120344,-0.19170218474014866,-0.27381656937398763,112.0,1760026601.0,92.0,0.96,427274285714285.7,1.0
26896,1,0,0.002713949055760548,1,2.0,54.0,17.0,1.0,1545777276.0,1692778399.0,1693243582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.558737894637847,23.160842621918906,23.97006806449435,3.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3636363636363636,0.0,0.4444444444444444,-0.19606324945435616,-0.7892057504508595,-0.1440099105475302,-0.20788153052081432,-0.1169995771451455,-0.17690943633691128,0.2936596229762944,-0.029310459799164412,0.28825456209687617,-0.4569654297431474,0.12495548107160287,-0.12676879655547194,0.03246647721539931,-0.022836702156656646,-0.0854194044608568,-0.07991052220172185,0.0,-0.1974168714966964,-0.7559534107010286,-0.10409273552122333,-0.2092593878661113,-0.11887555608903569,-0.18146730584357865,0.3027233787425595,-0.028539130086728703,0.27327280477924276,-0.4340164979206555,0.12868558187044604,-0.1347949437627289,0.028601468020906025,-0.03976612951246057,-0.06408942472766962,-0.08860394292737808,2499.0,1760230125.0,775.0,0.8181818181818182,0.0,0.0
979056,1,0,0.05985366955046902,1,2.0,54.0,19.0,1.0,1759505141.0,1759505325.0,1759835051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29.24756351165025,26.474974789413448,26.525082051877,16.0,1.0,1.0,1.0,0.0,1.0,34.0,32.676733936637504,29.15037341202156,29.42278058515677,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-0.2933759017188766,0.8856935479298003,-0.7683175778384458,1.1080198914827173,0.29371538583434276,-0.24149593162429095,0.6226288288353365,-0.5027235632684233,0.08183427439698635,0.170035862827739,0.34350155304445623,0.718715432832118,-0.7295698631367654,1.1969884948045315,-0.39446698567675786,0.10769011058234002,0.0,-0.2666444221801989,0.8818439124524011,-0.8362088733746333,1.0955725151567668,0.2976201071960221,-0.2656074120389037,0.6487094132282247,-0.5109973976115143,0.11413759531675295,0.20963567099951805,0.4161546361834894,0.7261901007646846,-0.7095385431389363,1.1458305898925192,-0.38569431500943085,0.12577545047636082,25.0,1760606359.0,8.0,1.0,0.0,0.0
818974,1,0,0.00039413026524674495,1,2.0,59.0,22.0,2.0,1743512759.0,1743512804.0,1743515532.0,0.0,8.0,27.555622986089507,25.476181444417218,26.250208213450904,25.02979388524918,8.0,1.0,1.0,3.0,1.0,8.0,27.553620983434996,25.474179441762725,26.248206210479925,8.0,1.0,1.0,1.0,0.0,4.0,9.0,30.98442783375439,28.78720325641845,29.672241444788316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,-0.09301023054045165,0.750956709121058,-0.11957948732189255,-0.3668983351441069,0.8985536016615361,-0.3706753345054561,-1.153524375572227,0.8806717525071561,-0.06457075094563369,-0.20670794790796762,0.6682146062998147,-0.4395836594072041,-0.17400788393316963,0.3647282205938364,-0.17820608347947992,-0.013038930350840722,0.25,-0.0671041796653143,0.7679410119614989,-0.12508738377452047,-0.3704359503737547,0.90999736512283,-0.37041272054722435,-1.1591896643315451,0.8796264389327165,-0.06504759420752758,-0.18612887918968524,0.6228752155769414,-0.4519879571529999,-0.15520301179850443,0.35649874065323045,-0.17771371026257302,-0.001319333575860962,210.0,1759749656.0,187.0,0.36,0.0,0.0
449410,1,0,0.00037728789895299507,1,2.0,30.0,7.0,1.0,1707319736.0,1707319756.0,1707339035.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.154455941150726,26.46130876059239,26.502456704179483,2.0,1.0,1.0,1.0,0.0,2.0,3.0,30.584967388790993,29.48635510012299,29.933606208922694,0.0,1.0,2.0,30.584967388790993,9590750000000.0,27.15445594121837,310456229521.0,1.0,8.0,1.0,0.0,0.0,0.0,2.438758655998604,-1.159613478777287,0.3841348573755595,0.1144343996536143,0.3440008105841452,0.18204528653584467,0.00016651464712952313,-0.2881199027972193,0.07751009814470315,0.0404685050598947,0.43974700174980047,0.1817152822600155,-0.1835168922126857,-0.0572084805771184,-0.03488292689667027,-0.12705580191649707,0.25,2.4832736492147864,-1.1495191110365632,0.38789587864674463,0.20611584158250285,0.33683754667180665,0.24130981917046146,0.07510360209689024,-0.1604845623825435,0.047972415421501935,-0.07462237163174484,0.4387577905131451,0.08819897005649742,-0.14290453559309202,-0.029888681240323494,0.03876397729486878,-0.11187548404836231,629.0,1760529505.0,615.0,0.7142857142857143,5898311250000000.0,0.0
