user_id,status,is_isolated,shared_ip_degree,night_tx_ratio,dormant_intensity,is_round_amount_ratio
976310,1,1.0,1.0,0.0,0.0,0.47058823529411764
905969,1,1.0,1.0,0.2,0.0,0.8461538461538461
58796,1,1.0,1.0,0.0,4.764203306666667e+16,0.875
771975,1,1.0,1.0,0.3333333333333333,0.0,1.0
675516,1,0.0,6.0,0.3,418685400000000.0,0.6842105263157895
938228,1,0.0,15.0,0.0,0.0,0.7777777777777778
948481,1,1.0,1.0,0.5,0.0,0.9473684210526315
981508,1,1.0,1.0,0.3888888888888889,0.0,0.7142857142857143
822817,1,0.0,4.0,0.0454545454545454,0.0,0.7664233576642335
972303,1,0.0,30.0,0.0,0.0,0.6818181818181818
973262,1,1.0,1.0,0.0,0.0,0.7142857142857143
843237,1,0.0,4.0,0.0,0.0,0.9411764705882353
938216,1,0.0,24.0,0.0,0.0,0.7241379310344828
713471,1,1.0,1.0,0.0,0.0,0.375
999898,1,1.0,1.0,0.0,9000000000000.0,0.6363636363636364
991606,1,1.0,1.0,0.0,0.0,1.0
58579,1,0.0,2.0,0.0476190476190476,0.0,0.9545454545454546
973115,1,0.0,2.0,0.0,0.0,1.0
329096,1,0.0,2.0,0.2,0.0,1.0
940954,1,0.0,2.0,0.2,187800200000000.0,0.6428571428571429
878096,1,0.0,2.0,0.0,44139866666666.67,0.7857142857142857
970837,1,0.0,2.0,0.0,0.0,0.7777777777777778
989100,1,0.0,14.0,0.0,0.0,0.6153846153846154
971156,1,0.0,2.0,0.0,0.0,0.7142857142857143
247785,1,0.0,2.0,0.25,0.0,0.7083333333333334
232087,1,1.0,1.0,0.0,0.0,0.6666666666666666
921761,1,0.0,22.0,0.0,0.0,0.7058823529411765
973545,1,0.0,6.0,0.0,0.0,1.0
977996,1,0.0,2.0,0.0,0.0,1.0
896378,1,0.0,2.0,0.0,0.0,0.3333333333333333
810775,1,1.0,1.0,0.0,0.0,0.6875
974358,1,0.0,2.0,0.0,0.0,0.675
978448,1,1.0,1.0,0.75,0.0,0.6190476190476191
972328,1,0.0,14.0,0.0,0.0,0.6666666666666666
404635,1,0.0,2.0,0.0,0.0,0.627906976744186
690982,1,0.0,5.0,0.0,0.0,0.6666666666666666
986961,1,1.0,1.0,0.0,16400280000000.0,0.5789473684210527
467847,1,1.0,1.0,0.0,0.0,1.0
895070,1,0.0,5.0,0.2962962962962963,0.0,0.8260869565217391
995664,1,0.0,16.0,0.0,0.0,0.9166666666666666
983367,1,0.0,16.0,0.0,0.0,0.625
923266,1,1.0,1.0,0.0555555555555555,332635345454545.44,0.6909090909090909
386123,1,1.0,1.0,0.25,0.0,0.7
996735,1,0.0,55.0,0.0,0.0,0.9705882352941176
693304,1,1.0,1.0,0.0,0.0,0.6363636363636364
863498,1,0.0,3.0,0.52,527352142857142.9,0.9811320754716981
